AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
2,Normal KCC,1,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
4,Normal KCC,2,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
5,Normal KCC,3,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
6,Normal KCC,4,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
7,Normal KCC,5,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
8,Normal KCC,6,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
74,Normal KCC,8,19-06-2023,,30000,0,0,0,0,0,0,30000,0,0,0,0,91150301037001,,Sugar Cane Plant
9,Normal KCC,9,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
10,Normal KCC,10,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
11,Normal KCC,11,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
12,Normal KCC,12,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
13,Normal KCC,13,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
17,Normal KCC,14,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
18,Normal KCC,15,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
23,Normal KCC,16,19-06-2023,,25000,0,0,0,0,0,0,25000,0,0,0,0,91150301037001,,Sugar Cane Plant
25,Normal KCC,17,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
28,Normal KCC,18,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
29,Normal KCC,19,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
30,Normal KCC,20,19-06-2023,,18000,0,0,0,0,0,0,18000,0,0,0,0,91150301037001,,Sugar Cane Plant
31,Normal KCC,21,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
34,Normal KCC,22,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
35,Normal KCC,23,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
36,Normal KCC,24,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
37,Normal KCC,25,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
38,Normal KCC,26,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
40,Normal KCC,27,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
41,Normal KCC,28,19-06-2023,,12000,0,0,0,0,0,0,12000,0,0,0,0,91150301037001,,Sugar Cane Plant
42,Normal KCC,29,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
44,Normal KCC,30,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
43,Normal KCC,31,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
45,Normal KCC,32,19-06-2023,,12000,0,0,0,0,0,0,12000,0,0,0,0,91150301037001,,Sugar Cane Plant
46,Normal KCC,33,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
47,Normal KCC,34,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
48,Normal KCC,35,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
49,Normal KCC,36,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
50,Normal KCC,37,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
52,Normal KCC,38,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
54,Normal KCC,39,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
55,Normal KCC,40,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
62,Normal KCC,44,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
70,Normal KCC,48,19-06-2023,,28000,0,0,0,0,0,0,28000,0,0,0,0,91150301037001,,Sugar Cane Plant
69,Normal KCC,50,19-06-2023,,18000,0,0,0,0,0,0,18000,0,0,0,0,91150301037001,,Sugar Cane Plant
26,Normal KCC,51,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
63,Normal KCC,53,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
27,Normal KCC,54,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
81,Normal KCC,55,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
82,Normal KCC,56,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
80,Normal KCC,57,19-06-2023,,39000,0,0,0,0,0,0,39000,0,0,0,0,91150301037001,,Sugar Cane Plant
67,Normal KCC,59,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
78,Normal KCC,61,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
79,Normal KCC,62,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
83,Normal KCC,63,19-06-2023,,10000,0,0,0,0,0,0,10000,0,0,0,0,91150301037001,,Sugar Cane Plant
77,Normal KCC,64,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
76,Normal KCC,66,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
51,Normal KCC,67,19-06-2023,,10000,0,0,0,0,0,0,10000,0,0,0,0,91150301037001,,Sugar Cane Plant
53,Normal KCC,68,19-06-2023,,9600,0,0,0,0,0,0,9600,0,0,0,0,91150301037001,,Sugar Cane Plant
61,Normal KCC,69,19-06-2023,,8000,0,0,0,0,0,0,8000,0,0,0,0,91150301037001,,Sugar Cane Plant
60,Normal KCC,70,19-06-2023,,8000,0,0,0,0,0,0,8000,0,0,0,0,91150301037001,,Sugar Cane Plant
72,Normal KCC,72,19-06-2023,,90000,0,0,0,0,0,0,90000,0,0,0,0,91150301037001,,Sugar Cane Plant
87,Normal KCC,75,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
88,Normal KCC,76,19-06-2023,,130000,0,0,0,0,0,0,130000,0,0,0,0,91150301037001,,Sugar Cane Plant
92,Normal KCC,77,19-06-2023,,112000,0,0,0,0,0,0,112000,0,0,0,0,91150301037001,,Sugar Cane Plant
94,Normal KCC,78,19-06-2023,,123000,0,0,0,0,0,0,123000,0,0,0,0,91150301037001,,Sugar Cane Plant
96,Normal KCC,79,19-06-2023,,124000,0,0,0,0,0,0,124000,0,0,0,0,91150301037001,,Sugar Cane Plant
97,Normal KCC,80,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
98,Normal KCC,81,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
101,Normal KCC,82,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
102,Normal KCC,83,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
103,Normal KCC,84,19-06-2023,,39000,0,0,0,0,0,0,39000,0,0,0,0,91150301037001,,Sugar Cane Plant
73,Normal KCC,85,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
104,Normal KCC,86,19-06-2023,,12000,0,0,0,0,0,0,12000,0,0,0,0,91150301037001,,Sugar Cane Plant
106,Normal KCC,87,19-06-2023,,55000,0,0,0,0,0,0,55000,0,0,0,0,91150301037001,,Sugar Cane Plant
107,Normal KCC,88,19-06-2023,,55000,0,0,0,0,0,0,55000,0,0,0,0,91150301037001,,Sugar Cane Plant
108,Normal KCC,89,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
109,Normal KCC,90,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
110,Normal KCC,91,19-06-2023,,26000,0,0,0,0,0,0,26000,0,0,0,0,91150301037001,,Sugar Cane Plant
112,Normal KCC,93,19-06-2023,,55000,0,0,0,0,0,0,55000,0,0,0,0,91150301037001,,Sugar Cane Plant
113,Normal KCC,94,19-06-2023,,160000,0,0,0,0,0,0,160000,0,0,0,0,91150301037001,,Sugar Cane Plant
115,Normal KCC,96,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
118,Normal KCC,99,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
121,Normal KCC,102,19-06-2023,,26000,0,0,0,0,0,0,26000,0,0,0,0,91150301037001,,Sugar Cane Plant
122,Normal KCC,103,19-06-2023,,26000,0,0,0,0,0,0,26000,0,0,0,0,91150301037001,,Sugar Cane Plant
90,Normal KCC,104,19-06-2023,,40000,0,0,0,0,0,0,40000,0,0,0,0,91150301037001,,Sugar Cane Plant
58,Normal KCC,105,19-06-2023,,1700,0,0,0,0,0,0,1700,0,0,0,0,91150301037001,,Sugar Cane Plant
59,Normal KCC,106,19-06-2023,,1700,0,0,0,0,0,0,1700,0,0,0,0,91150301037001,,Sugar Cane Plant
142,Normal KCC,108,19-06-2023,,85000,0,0,0,0,0,0,85000,0,0,0,0,91150301037001,,Sugar Cane Plant
176,Normal KCC,109,19-06-2023,,130000,0,0,0,0,0,0,130000,0,0,0,0,91150301037001,,Sugar Cane Plant
139,Normal KCC,110,19-06-2023,,30000,0,0,0,0,0,0,30000,0,0,0,0,91150301037001,,Sugar Cane Plant
143,Normal KCC,112,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
159,Normal KCC,113,19-06-2023,,34000,0,0,0,0,0,0,34000,0,0,0,0,91150301037001,,Sugar Cane Plant
160,Normal KCC,114,19-06-2023,,34000,0,0,0,0,0,0,34000,0,0,0,0,91150301037001,,Sugar Cane Plant
153,Normal KCC,115,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
105,Normal KCC,116,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
161,Normal KCC,117,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
154,Normal KCC,118,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
162,Normal KCC,119,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
163,Normal KCC,120,19-06-2023,,85000,0,0,0,0,0,0,85000,0,0,0,0,91150301037001,,Sugar Cane Plant
150,Normal KCC,121,19-06-2023,,137000,0,0,0,0,0,0,137000,0,0,0,0,91150301037001,,Sugar Cane Plant
169,Normal KCC,122,19-06-2023,,105000,0,0,0,0,0,0,105000,0,0,0,0,91150301037001,,Sugar Cane Plant
164,Normal KCC,124,19-06-2023,,48000,0,0,0,0,0,0,48000,0,0,0,0,91150301037001,,Sugar Cane Plant
165,Normal KCC,128,19-06-2023,,9600,0,0,0,0,0,0,9600,0,0,0,0,91150301037001,,Sugar Cane Plant
168,Normal KCC,130,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
156,Normal KCC,131,19-06-2023,,40000,0,0,0,0,0,0,40000,0,0,0,0,91150301037001,,Sugar Cane Plant
174,Normal KCC,132,19-06-2023,,49000,0,0,0,0,0,0,49000,0,0,0,0,91150301037001,,Sugar Cane Plant
175,Normal KCC,133,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
84,Normal KCC,136,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
194,Normal KCC,137,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
195,Normal KCC,138,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
196,Normal KCC,139,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
134,Normal KCC,141,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
135,Normal KCC,142,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
136,Normal KCC,143,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
198,Normal KCC,144,19-06-2023,,4000,0,0,0,0,0,0,4000,0,0,0,0,91150301037001,,Sugar Cane Plant
199,Normal KCC,145,19-06-2023,,8700,0,0,0,0,0,0,8700,0,0,0,0,91150301037001,,Sugar Cane Plant
200,Normal KCC,146,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
201,Normal KCC,147,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
202,Normal KCC,148,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
203,Normal KCC,149,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
204,Normal KCC,150,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
207,Normal KCC,153,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
184,Normal KCC,154,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
185,Normal KCC,155,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
186,Normal KCC,156,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
187,Normal KCC,157,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
188,Normal KCC,158,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
180,Normal KCC,160,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
208,Normal KCC,162,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
209,Normal KCC,163,19-06-2023,,42000,0,0,0,0,0,0,42000,0,0,0,0,91150301037001,,Sugar Cane Plant
210,Normal KCC,164,19-06-2023,,32000,0,0,0,0,0,0,32000,0,0,0,0,91150301037001,,Sugar Cane Plant
211,Normal KCC,165,19-06-2023,,32000,0,0,0,0,0,0,32000,0,0,0,0,91150301037001,,Sugar Cane Plant
182,Normal KCC,166,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
183,Normal KCC,167,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
213,Normal KCC,168,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
214,Normal KCC,169,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
215,Normal KCC,170,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
217,Normal KCC,172,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
218,Normal KCC,173,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
190,Normal KCC,174,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
191,Normal KCC,175,19-06-2023,,90000,0,0,0,0,0,0,90000,0,0,0,0,91150301037001,,Sugar Cane Plant
219,Normal KCC,176,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
220,Normal KCC,177,19-06-2023,,36000,0,0,0,0,0,0,36000,0,0,0,0,91150301037001,,Sugar Cane Plant
222,Normal KCC,178,19-06-2023,,36000,0,0,0,0,0,0,36000,0,0,0,0,91150301037001,,Sugar Cane Plant
224,Normal KCC,179,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
225,Normal KCC,180,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
158,Normal KCC,182,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
234,Normal KCC,184,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
212,Normal KCC,185,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
236,Normal KCC,186,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
237,Normal KCC,187,19-06-2023,,105000,0,0,0,0,0,0,105000,0,0,0,0,91150301037001,,Sugar Cane Plant
221,Normal KCC,188,19-06-2023,,63500,0,0,0,0,0,0,63500,0,0,0,0,91150301037001,,Sugar Cane Plant
223,Normal KCC,189,19-06-2023,,41000,0,0,0,0,0,0,41000,0,0,0,0,91150301037001,,Sugar Cane Plant
238,Normal KCC,190,19-06-2023,,41000,0,0,0,0,0,0,41000,0,0,0,0,91150301037001,,Sugar Cane Plant
