AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
425,Normal KCC,192,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
426,Normal KCC,193,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
429,Normal KCC,194,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
437,Normal KCC,196,19-06-2023,,40000,0,0,0,0,0,0,40000,0,0,0,0,91150301037001,,Sugar Cane Plant
438,Normal KCC,197,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
439,Normal KCC,198,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
441,Normal KCC,199,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
331,Normal KCC,201,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
444,Normal KCC,202,19-06-2023,,12000,0,0,0,0,0,0,12000,0,0,0,0,91150301037001,,Sugar Cane Plant
445,Normal KCC,203,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
446,Normal KCC,204,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
447,Normal KCC,205,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
448,Normal KCC,206,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
449,Normal KCC,207,19-06-2023,,46000,0,0,0,0,0,0,46000,0,0,0,0,91150301037001,,Sugar Cane Plant
450,Normal KCC,208,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
350,Normal KCC,209,19-06-2023,,18000,0,0,0,0,0,0,18000,0,0,0,0,91150301037001,,Sugar Cane Plant
382,Normal KCC,210,19-06-2023,,85000,0,0,0,0,0,0,85000,0,0,0,0,91150301037001,,Sugar Cane Plant
451,Normal KCC,211,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
452,Normal KCC,212,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
454,Normal KCC,213,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
455,Normal KCC,214,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
456,Normal KCC,215,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
457,Normal KCC,216,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
459,Normal KCC,218,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
461,Normal KCC,219,19-06-2023,,13000,0,0,0,0,0,0,13000,0,0,0,0,91150301037001,,Sugar Cane Plant
462,Normal KCC,220,19-06-2023,,13000,0,0,0,0,0,0,13000,0,0,0,0,91150301037001,,Sugar Cane Plant
463,Normal KCC,222,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
340,Normal KCC,224,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
465,Normal KCC,225,19-06-2023,,3500,0,0,0,0,0,0,3500,0,0,0,0,91150301037001,,Sugar Cane Plant
468,Normal KCC,226,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
466,Normal KCC,227,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
177,Normal KCC,229,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
167,Normal KCC,232,19-06-2023,,48000,0,0,0,0,0,0,48000,0,0,0,0,91150301037001,,Sugar Cane Plant
39,Normal KCC,233,19-06-2023,,90000,0,0,0,0,0,0,90000,0,0,0,0,91150301037001,,Sugar Cane Plant
228,Normal KCC,234,19-06-2023,,113000,0,0,0,0,0,0,113000,0,0,0,0,91150301037001,,Sugar Cane Plant
173,Normal KCC,235,19-06-2023,,160000,0,0,0,0,0,0,160000,0,0,0,0,91150301037001,,Sugar Cane Plant
428,Normal KCC,237,19-06-2023,,4500,0,0,0,0,0,0,4500,0,0,0,0,91150301037001,,Sugar Cane Plant
432,Normal KCC,238,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
245,Normal KCC,239,19-06-2023,,14000,0,0,0,0,0,0,14000,0,0,0,0,91150301037001,,Sugar Cane Plant
434,Normal KCC,240,19-06-2023,,14000,0,0,0,0,0,0,14000,0,0,0,0,91150301037001,,Sugar Cane Plant
435,Normal KCC,241,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
436,Normal KCC,242,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
440,Normal KCC,243,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
442,Normal KCC,244,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
443,Normal KCC,245,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
453,Normal KCC,246,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
460,Normal KCC,247,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
467,Normal KCC,248,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
470,Normal KCC,249,19-06-2023,,10000,0,0,0,0,0,0,10000,0,0,0,0,91150301037001,,Sugar Cane Plant
244,Normal KCC,250,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
325,Normal KCC,251,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
418,Normal KCC,252,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
488,Normal KCC,253,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
509,Normal KCC,254,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
585,Normal KCC,255,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
667,Normal KCC,256,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
686,Normal KCC,257,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
687,Normal KCC,258,19-06-2023,,60000,0,0,0,0,0,0,60000,0,0,0,0,91150301037001,,Sugar Cane Plant
688,Normal KCC,259,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
689,Normal KCC,260,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
690,Normal KCC,261,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
691,Normal KCC,262,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
692,Normal KCC,263,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
694,Normal KCC,264,19-06-2023,,38000,0,0,0,0,0,0,38000,0,0,0,0,91150301037001,,Sugar Cane Plant
696,Normal KCC,265,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
698,Normal KCC,266,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
700,Normal KCC,267,19-06-2023,,5200,0,0,0,0,0,0,5200,0,0,0,0,91150301037001,,Sugar Cane Plant
701,Normal KCC,268,19-06-2023,,16000,0,0,0,0,0,0,16000,0,0,0,0,91150301037001,,Sugar Cane Plant
702,Normal KCC,269,19-06-2023,,16000,0,0,0,0,0,0,16000,0,0,0,0,91150301037001,,Sugar Cane Plant
703,Normal KCC,270,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
706,Normal KCC,271,19-06-2023,,30000,0,0,0,0,0,0,30000,0,0,0,0,91150301037001,,Sugar Cane Plant
707,Normal KCC,272,19-06-2023,,30000,0,0,0,0,0,0,30000,0,0,0,0,91150301037001,,Sugar Cane Plant
708,Normal KCC,273,19-06-2023,,30000,0,0,0,0,0,0,30000,0,0,0,0,91150301037001,,Sugar Cane Plant
709,Normal KCC,274,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
710,Normal KCC,275,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
711,Normal KCC,276,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
714,Normal KCC,277,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
716,Normal KCC,278,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
719,Normal KCC,279,19-06-2023,,16000,0,0,0,0,0,0,16000,0,0,0,0,91150301037001,,Sugar Cane Plant
722,Normal KCC,280,19-06-2023,,47000,0,0,0,0,0,0,47000,0,0,0,0,91150301037001,,Sugar Cane Plant
723,Normal KCC,281,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
725,Normal KCC,282,19-06-2023,,36000,0,0,0,0,0,0,36000,0,0,0,0,91150301037001,,Sugar Cane Plant
726,Normal KCC,283,19-06-2023,,43000,0,0,0,0,0,0,43000,0,0,0,0,91150301037001,,Sugar Cane Plant
727,Normal KCC,284,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
729,Normal KCC,285,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
730,Normal KCC,286,19-06-2023,,55000,0,0,0,0,0,0,55000,0,0,0,0,91150301037001,,Sugar Cane Plant
731,Normal KCC,287,19-06-2023,,12000,0,0,0,0,0,0,12000,0,0,0,0,91150301037001,,Sugar Cane Plant
732,Normal KCC,288,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
739,Normal KCC,289,19-06-2023,,26000,0,0,0,0,0,0,26000,0,0,0,0,91150301037001,,Sugar Cane Plant
742,Normal KCC,290,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
471,Normal KCC,292,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
248,Normal KCC,293,19-06-2023,,45000,0,0,0,0,0,0,45000,0,0,0,0,91150301037001,,Sugar Cane Plant
261,Normal KCC,294,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
268,Normal KCC,295,19-06-2023,,19000,0,0,0,0,0,0,19000,0,0,0,0,91150301037001,,Sugar Cane Plant
280,Normal KCC,296,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
312,Normal KCC,297,19-06-2023,,29000,0,0,0,0,0,0,29000,0,0,0,0,91150301037001,,Sugar Cane Plant
513,Normal KCC,298,19-06-2023,,29000,0,0,0,0,0,0,29000,0,0,0,0,91150301037001,,Sugar Cane Plant
522,Normal KCC,299,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
576,Normal KCC,300,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
627,Normal KCC,301,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
693,Normal KCC,302,19-06-2023,,23000,0,0,0,0,0,0,23000,0,0,0,0,91150301037001,,Sugar Cane Plant
697,Normal KCC,303,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
699,Normal KCC,304,19-06-2023,,5200,0,0,0,0,0,0,5200,0,0,0,0,91150301037001,,Sugar Cane Plant
705,Normal KCC,305,19-06-2023,,29000,0,0,0,0,0,0,29000,0,0,0,0,91150301037001,,Sugar Cane Plant
712,Normal KCC,306,19-06-2023,,50000,0,0,0,0,0,0,50000,0,0,0,0,91150301037001,,Sugar Cane Plant
715,Normal KCC,307,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
717,Normal KCC,308,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
721,Normal KCC,309,19-06-2023,,13000,0,0,0,0,0,0,13000,0,0,0,0,91150301037001,,Sugar Cane Plant
734,Normal KCC,310,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
735,Normal KCC,311,19-06-2023,,78000,0,0,0,0,0,0,78000,0,0,0,0,91150301037001,,Sugar Cane Plant
747,Normal KCC,312,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
748,Normal KCC,313,19-06-2023,,4300,0,0,0,0,0,0,4300,0,0,0,0,91150301037001,,Sugar Cane Plant
753,Normal KCC,314,19-06-2023,,11000,0,0,0,0,0,0,11000,0,0,0,0,91150301037001,,Sugar Cane Plant
754,Normal KCC,315,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
757,Normal KCC,316,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
469,Normal KCC,317,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
15,Normal KCC,1,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
21,Normal KCC,2,19-06-2023,,230000,0,0,0,0,0,0,230000,0,0,0,0,91150301037001,,Sugar Cane Plant
16,Normal KCC,4,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
20,Normal KCC,5,19-06-2023,,225000,0,0,0,0,0,0,225000,0,0,0,0,91150301037001,,Sugar Cane Plant
3,Normal KCC,6,19-06-2023,,290000,0,0,0,0,0,0,290000,0,0,0,0,91150301037001,,Sugar Cane Plant
68,Normal KCC,8,19-06-2023,,180000,0,0,0,0,0,0,180000,0,0,0,0,91150301037001,,Sugar Cane Plant
19,Normal KCC,9,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
22,Normal KCC,10,19-06-2023,,190000,0,0,0,0,0,0,190000,0,0,0,0,91150301037001,,Sugar Cane Plant
24,Normal KCC,11,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
1,Normal KCC,13,19-06-2023,,238000,0,0,0,0,0,0,238000,0,0,0,0,91150301037001,,Sugar Cane Plant
123,Normal KCC,14,19-06-2023,,200000,0,0,0,0,0,0,200000,0,0,0,0,91150301037001,,Sugar Cane Plant
125,Normal KCC,15,19-06-2023,,242000,0,0,0,0,0,0,242000,0,0,0,0,91150301037001,,Sugar Cane Plant
127,Normal KCC,17,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
129,Normal KCC,19,19-06-2023,,200000,0,0,0,0,0,0,200000,0,0,0,0,91150301037001,,Sugar Cane Plant
131,Normal KCC,21,19-06-2023,,99000,0,0,0,0,0,0,99000,0,0,0,0,91150301037001,,Sugar Cane Plant
133,Normal KCC,23,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
114,Normal KCC,24,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
100,Normal KCC,25,19-06-2023,,240000,0,0,0,0,0,0,240000,0,0,0,0,91150301037001,,Sugar Cane Plant
141,Normal KCC,26,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
124,Normal KCC,29,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
86,Normal KCC,32,19-06-2023,,210000,0,0,0,0,0,0,210000,0,0,0,0,91150301037001,,Sugar Cane Plant
189,Normal KCC,33,19-06-2023,,300000,0,0,0,0,0,0,300000,0,0,0,0,91150301037001,,Sugar Cane Plant
229,Normal KCC,35,19-06-2023,,210000,0,0,0,0,0,0,210000,0,0,0,0,91150301037001,,Sugar Cane Plant
193,Normal KCC,37,19-06-2023,,170000,0,0,0,0,0,0,170000,0,0,0,0,91150301037001,,Sugar Cane Plant
233,Normal KCC,39,19-06-2023,,200000,0,0,0,0,0,0,200000,0,0,0,0,91150301037001,,Sugar Cane Plant
239,Normal KCC,40,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
240,Normal KCC,41,19-06-2023,,160000,0,0,0,0,0,0,160000,0,0,0,0,91150301037001,,Sugar Cane Plant
472,Normal KCC,44,19-06-2023,,130000,0,0,0,0,0,0,130000,0,0,0,0,91150301037001,,Sugar Cane Plant
473,Normal KCC,45,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
474,Normal KCC,46,19-06-2023,,180000,0,0,0,0,0,0,180000,0,0,0,0,91150301037001,,Sugar Cane Plant
93,Normal KCC,48,19-06-2023,,200000,0,0,0,0,0,0,200000,0,0,0,0,91150301037001,,Sugar Cane Plant
116,Normal KCC,49,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
171,Normal KCC,50,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
172,Normal KCC,51,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
243,Normal KCC,52,19-06-2023,,180000,0,0,0,0,0,0,180000,0,0,0,0,91150301037001,,Sugar Cane Plant
713,Normal KCC,53,19-06-2023,,70000,0,0,0,0,0,0,70000,0,0,0,0,91150301037001,,Sugar Cane Plant
733,Normal KCC,54,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
232,Normal KCC,55,19-06-2023,,200000,0,0,0,0,0,0,200000,0,0,0,0,91150301037001,,Sugar Cane Plant
755,Normal KCC,56,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
