"SlNo","ProductDescription","AdmissionNo","LoanNo","Scheme","CropDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"Small Business Development Loan","41","28","Normal","Small Business Loans ","2024-02-27","150000","12","2025-02-26","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","4","30","Normal","Small Business Loans ","2024-03-15","250000","12","2025-03-15","12","0.01","12.01","250000","45000","91150301037001",
,"Small Business Development Loan","1","31","Normal","Small Business Loans ","2023-07-05","60000","12","2024-07-04","12","0.01","12.01","60000","10800","91150301037001",
,"Small Business Development Loan","123","32","Normal","Small Business Loans ","2024-02-22","340000","12","2025-02-21","12","0.01","12.01","340000","61200","91150301037001",
,"Small Business Development Loan","167","33","Normal","Small Business Loans ","2024-03-20","100000","12","2025-03-20","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","134","34","Normal","Small Business Loans ","2023-12-14","150000","12","2024-12-13","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","236","37","Normal","Small Business Loans ","2023-03-17","150000","12","2024-03-16","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","137","38","Normal","Small Business Loans ","2024-03-30","50000","12","2025-03-30","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","157","42","Normal","Small Business Loans ","2021-11-15","10000","12","2022-11-15","12","0.01","12.01","10000","1800","91150301037001",
,"Small Business Development Loan","218","44","Normal","Small Business Loans ","2024-03-16","250000","12","2025-03-16","12","0.01","12.01","250000","45000","91150301037001",
,"Small Business Development Loan","186","46","Normal","Small Business Loans ","2024-03-12","30000","12","2025-03-12","12","0.01","12.01","30000","5400","91150301037001",
,"Small Business Development Loan","84","47","Normal","Small Business Loans ","2024-03-28","240000","12","2025-03-28","12","0.01","12.01","240000","43200","91150301037001",
,"Small Business Development Loan","244","50","Normal","Small Business Loans ","2024-02-12","200000","12","2025-02-11","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","286","51","Normal","Small Business Loans ","2024-03-22","150000","12","2025-03-22","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","189","52","Normal","Small Business Loans ","2024-02-27","130000","12","2025-02-26","12","0.01","12.01","130000","23400","91150301037001",
,"Small Business Development Loan","40","53","Normal","Small Business Loans ","2023-07-07","300000","12","2024-07-06","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","207","55","Normal","Small Business Loans ","2023-09-26","100000","12","2024-09-25","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","100","57","Normal","Small Business Loans ","2024-03-28","350000","12","2025-03-28","12","0.01","12.01","350000","63000","91150301037001",
,"Small Business Development Loan","203","58","Normal","Small Business Loans ","2023-03-31","80000","12","2024-03-30","12","0.01","12.01","80000","14400","91150301037001",
,"Small Business Development Loan","280","59","Normal","Small Business Loans ","2024-02-26","150000","12","2025-02-25","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","245","61","Normal","Small Business Loans ","2024-01-02","40000","12","2025-01-01","12","0.01","12.01","40000","7200","91150301037001",
,"Small Business Development Loan","272","62","Normal","Small Business Loans ","2024-01-31","20000","12","2025-01-30","12","0.01","12.01","20000","3600","91150301037001",
,"Small Business Development Loan","191","64","Normal","Small Business Loans ","2024-02-20","200000","12","2025-02-19","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","350","65","Normal","Small Business Loans ","2023-07-01","105000","12","2024-06-30","12","0.01","12.01","105000","18900","91150301037001",
,"Small Business Development Loan","83","66","Normal","Small Business Loans ","2023-02-24","43000","12","2024-02-24","12","0.01","12.01","43000","7740","91150301037001",
,"Small Business Development Loan","127","69","Normal","Small Business Loans ","2023-11-13","200000","12","2024-11-12","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","450","70","Normal","Small Business Loans ","2024-01-04","250000","12","2025-01-03","12","0.01","12.01","250000","45000","91150301037001",
,"Small Business Development Loan","476","71","Normal","Small Business Loans ","2023-09-21","150000","12","2024-09-20","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","344","72","Normal","Small Business Loans ","2024-03-01","300000","12","2025-03-01","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","219","73","Normal","Small Business Loans ","2023-07-05","100000","12","2024-07-04","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","219","73","Normal","Small Business Loans ","2023-11-17","200000","12","2024-11-16","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","190","74","Normal","Small Business Loans ","2023-06-15","100000","12","2024-06-14","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","190","74","Normal","Small Business Loans ","2023-11-29","65000","12","2024-11-28","12","0.01","12.01","65000","11700","91150301037001",
,"Small Business Development Loan","11","75","Normal","Small Business Loans ","2023-04-28","100000","12","2024-04-27","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","468","77","Normal","Small Business Loans ","2024-01-09","200000","12","2025-01-08","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","184","78","Normal","Small Business Loans ","2024-03-12","22000","12","2025-03-12","12","0.01","12.01","22000","3960","91150301037001",
,"Small Business Development Loan","209","79","Normal","Small Business Loans ","2024-03-22","300000","12","2025-03-22","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","225","82","Normal","Small Business Loans ","2023-05-17","50000","12","2024-05-16","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","228","84","Normal","Small Business Loans ","2023-12-18","100000","12","2024-12-17","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","213","90","Normal","Small Business Loans ","2023-05-29","300000","12","2024-05-28","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","175","92","Normal","Small Business Loans ","2023-04-10","60000","12","2024-04-09","12","0.01","12.01","60000","10800","91150301037001",
,"Small Business Development Loan","473","93","Normal","Small Business Loans ","2024-02-07","220000","12","2025-02-06","12","0.01","12.01","220000","39600","91150301037001",
,"Small Business Development Loan","592","94","Normal","Small Business Loans ","2023-05-12","50000","12","2024-05-11","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","594","95","Normal","Small Business Loans ","2024-01-29","50000","12","2025-01-28","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","212","98","Normal","Small Business Loans ","2023-02-01","150000","12","2024-02-01","12","0.01","12.01","150000","27000","91150301037001",
,"Small Business Development Loan","598","99","Normal","Small Business Loans ","2024-01-20","300000","12","2025-01-19","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","599","100","Normal","Small Business Loans ","2024-03-26","210000","12","2025-03-26","12","0.01","12.01","210000","37800","91150301037001",
,"Small Business Development Loan","600","101","Normal","Small Business Loans ","2023-05-24","50000","12","2024-05-23","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","124","103","Normal","Small Business Loans ","2023-07-07","100000","12","2024-07-06","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","619","104","Normal","Small Business Loans ","2023-07-01","80000","12","2024-06-30","12","0.01","12.01","80000","14400","91150301037001",
,"Small Business Development Loan","45","106","Normal","Small Business Loans ","2023-12-04","140000","12","2024-12-03","12","0.01","12.01","140000","25200","91150301037001",
,"Small Business Development Loan","460","108","Normal","Small Business Loans ","2023-10-25","25000","12","2024-10-24","12","0.01","12.01","25000","4500","91150301037001",
,"Small Business Development Loan","93","109","Normal","Small Business Loans ","2023-06-01","300000","12","2024-05-31","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","113","110","Normal","Small Business Loans ","2023-06-01","300000","12","2024-05-31","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","86","111","Normal","Small Business Loans ","2024-03-30","300000","12","2025-03-30","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","248","113","Normal","Small Business Loans ","2023-04-21","200000","12","2024-04-20","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","723","115","Normal","Small Business Loans ","2023-12-14","310000","12","2024-12-13","12","0.01","12.01","310000","55800","91150301037001",
,"Small Business Development Loan","730","120","Normal","Small Business Loans ","2023-12-19","300000","12","2024-12-18","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","693","121","Normal","Small Business Loans ","2024-03-26","200000","12","2025-03-26","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","34","122","Normal","Small Business Loans ","2024-02-14","100000","12","2025-02-13","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","731","123","Normal","Small Business Loans ","2023-03-07","200000","12","2024-03-06","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","729","124","Normal","Small Business Loans ","2023-04-12","100000","12","2024-04-11","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","10","125","Normal","Small Business Loans ","2024-04-26","250000","12","2025-04-26","12","0.01","12.01","250000","45000","91150301037001",
,"Small Business Development Loan","214","126","Normal","Small Business Loans ","2023-04-29","250000","12","2024-04-28","12","0.01","12.01","250000","45000","91150301037001",
,"Small Business Development Loan","708","129","Normal","Small Business Loans ","2023-12-05","100000","12","2024-12-04","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","716","130","Normal","Small Business Loans ","2023-06-01","300000","12","2024-05-31","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","667","131","Normal","Small Business Loans ","2023-06-01","300000","12","2024-05-31","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","488","132","Normal","Small Business Loans ","2023-06-16","100000","12","2024-06-15","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","229","133","Normal","Small Business Loans ","2023-07-05","300000","12","2024-07-04","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","449","134","Normal","Small Business Loans ","2023-07-10","250000","12","2024-07-09","12","0.01","12.01","250000","45000","91150301037001",
,"Small Business Development Loan","111","135","Normal","Small Business Loans ","2023-07-18","200000","12","2024-07-17","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","692","136","Normal","Small Business Loans ","2024-02-23","200000","12","2025-02-22","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","726","137","Normal","Small Business Loans ","2023-09-21","100000","12","2024-09-20","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","696","138","Normal","Small Business Loans ","2023-05-16","174000","12","2024-05-15","12","0.01","12.01","174000","31320","91150301037001",
,"Small Business Development Loan","733","139","Normal","Small Business Loans ","2024-01-02","50000","12","2025-01-01","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","443","140","Normal","Small Business Loans ","2024-02-06","300000","12","2025-02-05","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","171","141","Normal","Small Business Loans ","2024-02-14","300000","12","2025-02-13","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","87","142","Normal","Small Business Loans ","2023-06-02","300000","12","2024-06-01","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","522","143","Normal","Small Business Loans ","2023-06-02","300000","12","2024-06-01","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","757","144","Normal","Small Business Loans ","2024-02-22","300000","12","2025-02-21","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","509","145","Normal","Small Business Loans ","2023-06-30","100000","12","2024-06-29","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","44","146","Normal","Small Business Loans ","2023-07-07","200000","12","2024-07-06","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","689","147","Normal","Small Business Loans ","2023-07-07","100000","12","2024-07-06","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","463","148","Normal","Small Business Loans ","2023-07-17","100000","12","2024-07-16","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","55","149","Normal","Small Business Loans ","2024-03-21","300000","12","2025-03-21","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","435","151","Normal","Small Business Loans ","2024-01-02","225000","12","2025-01-01","12","0.01","12.01","225000","40500","91150301037001",
,"Small Business Development Loan","24","152","Normal","Small Business Loans ","2024-01-03","300000","12","2025-01-02","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","331","153","Normal","Small Business Loans ","2024-01-08","100000","12","2025-01-07","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","883","154","Normal","Small Business Loans ","2024-01-29","300000","12","2025-01-28","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","439","155","Normal","Small Business Loans ","2024-02-06","200000","12","2025-02-05","12","0.01","12.01","200000","36000","91150301037001",
,"Small Business Development Loan","633","156","Normal","Small Business Loans ","2024-02-20","100000","12","2025-02-19","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","627","157","Normal","Small Business Loans ","2024-02-22","100000","12","2025-02-21","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","513","158","Normal","Small Business Loans ","2024-03-01","100000","12","2025-03-01","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","88","159","Normal","Small Business Loans ","2024-03-22","300000","12","2025-03-22","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","753","160","Normal","Small Business Loans ","2024-03-30","300000","12","2025-03-30","12","0.01","12.01","300000","54000","91150301037001",
,"Small Business Development Loan","35","167","Normal","Small Business Loans ","2023-09-13","100000","12","2024-09-12","12","0.01","12.01","100000","18000","91150301037001",
,"Small Business Development Loan","466","169","Normal","Small Business Loans ","2024-03-02","50000","12","2025-03-02","12","0.01","12.01","50000","9000","91150301037001",
,"Small Business Development Loan","99","177","Normal","Small Business Loans ","2023-06-01","300000","12","2024-05-31","12","0.01","12.01","300000","54000","91150301037001",
